[Information]
CS-R5
DSP-RX
V6.60
[MixName]
MIX,NAME,COLOR,ICON,
_01,MX 1,Orange,Blank,
_02,MX 2,Orange,Blank,
_03,MX 3,Orange,Blank,
_04,MX 4,Orange,Blank,
_05,MX 5,Orange,Blank,
_06,MX 6,Orange,Blank,
_07,MX 7,Orange,Blank,
_08,MX 8,Orange,Blank,
_09,MX 9,Orange,Blank,
_10,MX10,Orange,Blank,
_11,MX11,Orange,Blank,
_12,MX12,Orange,Blank,
_13,MX13,Orange,Blank,
_14,MX14,Orange,Blank,
_15,MX15,Orange,Blank,
_16,MX16,Orange,Blank,
_17,MX17,Orange,Blank,
_18,MX18,Orange,Blank,
_19,MX19,Orange,Blank,
_20,MX20,Orange,Blank,
_21,MX21,Orange,Blank,
_22,MX22,Orange,Blank,
_23,MX23,Orange,Blank,
_24,MX24,Orange,Blank,
_25,MX25,Orange,Blank,
_26,MX26,Orange,Blank,
_27,MX27,Orange,Blank,
_28,MX28,Orange,Blank,
_29,MX29,Orange,Blank,
_30,MX30,Orange,Blank,
_31,MX31,Orange,Blank,
_32,MX32,Orange,Blank,
_33,MX33,Orange,Blank,
_34,MX34,Orange,Blank,
_35,MX35,Orange,Blank,
_36,MX36,Orange,Blank,
_37,MX37,Orange,Blank,
_38,MX38,Orange,Blank,
_39,MX39,Orange,Blank,
_40,MX40,Orange,Blank,
_41,MX41,Orange,Blank,
_42,MX42,Orange,Blank,
_43,MX43,Orange,Blank,
_44,MX44,Orange,Blank,
_45,MX45,Orange,Blank,
_46,MX46,Orange,Blank,
_47,MX47,Orange,Blank,
_48,MX48,Orange,Blank,
_49,MX49,Orange,Blank,
_50,MX50,Orange,Blank,
_51,MX51,Orange,Blank,
_52,MX52,Orange,Blank,
_53,MX53,Orange,Blank,
_54,MX54,Orange,Blank,
_55,MX55,Orange,Blank,
_56,MX56,Orange,Blank,
_57,MX57,Orange,Blank,
_58,MX58,Orange,Blank,
_59,MX59,Orange,Blank,
_60,MX60,Orange,Blank,
_61,MX61,Orange,Blank,
_62,MX62,Orange,Blank,
_63,MX63,Orange,Blank,
_64,MX64,Orange,Blank,
_65,MX65,Orange,Blank,
_66,MX66,Orange,Blank,
_67,MX67,Orange,Blank,
_68,MX68,Orange,Blank,
_69,MX69,Orange,Blank,
_70,MX70,Orange,Blank,
_71,MX71,Orange,Blank,
_72,MX72,Orange,Blank,
